,condition,sub,networks,mPHI,FC_ENT,ENT_PHI,ENT_Q,ENT_PC,ENT_SIG,mSIG
338,MCS,sbj-MCS-5,AAL,0.716967935,1.02711472,1.211960628,1.052580116,1.768264414,1.24140745,2.262886427
339,MCS,sbj-MCS-6,AAL,0.689834748,1.211673749,1.32514486,1.303010438,1.809039109,1.207527259,2.608802038
340,MCS,sbj-MCS-7,AAL,0.754812251,0.940952587,1.078276506,1.259538835,1.829158655,1.284353896,2.352744754
341,MCS,sbj-MCS-8,AAL,0.718392475,0.763318844,1.148839951,1.079447091,1.762524121,1.272597594,1.962872481
342,MCS,sbj-MCS-9,AAL,0.739797362,1.063089428,1.062062202,1.022258835,1.693807416,1.110688329,1.825209092
343,MCS,sbj-MCS-10,AAL,0.714496928,0.787655148,1.069837906,1.289959402,1.670175041,1.212610622,2.454630321
344,MCS,sbj-MCS-11,AAL,0.73873486,0.579314117,0.920068781,1.150428893,1.602521272,1.217590682,2.423794206
345,VS,sbj-VS-1,WB126,0.682461913,0.579066277,1.008806411,0.839859532,1.58914913,1.02608338,2.106980783
346,VS,sbj-VS-2,WB126,0.72249675,0.881941252,0.94974608,1.107859088,1.681105163,1.078923008,2.410891697
347,VS,sbj-VS-3,WB126,0.72230352,0.702869877,0.922973896,1.170778592,1.46484521,1.216144266,2.143270333
348,VS,sbj-VS-4,WB126,0.71659902,1.118125103,1.083623333,1.272709915,1.68709362,1.223397982,2.723244497
349,VS,sbj-VS-5,WB126,0.758021666,1.034843841,1.176477146,1.220387016,1.662738015,1.252849295,2.319133247
350,VS,sbj-VS-6,WB126,0.703797103,0.639209864,0.934086862,0.91370787,1.501695075,1.083747408,2.509926301
351,VS,sbj-VS-7,WB126,0.716368648,0.80066122,0.894432766,1.06079175,1.427531461,1.148548642,2.420082792
352,VS,sbj-VS-8,WB126,0.739419349,1.021788459,1.217387605,1.213466627,1.780471977,1.278354129,2.425570793
353,VS,sbj-VS-9,WB126,0.713228041,0.934330483,1.063656874,1.312062026,1.818818688,1.142576921,2.442686641
354,VS,sbj-VS-10,WB126,0.707330005,0.903110269,1.199397895,1.137688247,1.669845711,1.305004023,1.647396058
355,VS,sbj-VS-11,WB126,0.722941679,0.598576372,1.018399446,0.803826386,1.470143424,1.062606785,2.404171367
356,VS,sbj-VS-12,WB126,0.623453685,0.827021341,0.788449041,1.403745714,1.579774485,1.190032641,2.339033702
357,VS,sbj-VS-1,WB553,0.615093313,0.590407283,0.376366703,0.666207793,1.489653755,0,1.850179463
358,VS,sbj-VS-2,WB553,0.709139045,0.909370289,0.486497409,1.072550605,1.756285031,0,1.974728615
359,VS,sbj-VS-3,WB553,0.680016384,0.59235507,0.404032716,1.066435298,1.369890912,0,2.026523199
360,VS,sbj-VS-4,WB553,0.66333697,1.14388203,0.651210315,1.388037932,1.705329677,0,2.59040472
361,VS,sbj-VS-5,WB553,0.716629314,0.967200289,1.107903892,1.152761817,1.689561307,0,2.08974594
362,VS,sbj-VS-6,WB553,0.602298341,0.598277011,0.460680805,0.90708445,1.507256016,0,2.19980964
363,VS,sbj-VS-7,WB553,0.642721569,0.823081325,0.601731944,1.02265474,1.385050457,0,2.235222124
364,VS,sbj-VS-8,WB553,0.655112255,0.911697067,0.795286932,1.256674284,1.697606949,0,2.026696517
365,VS,sbj-VS-9,WB553,0.698150809,0.998998645,0.959345355,1.428888207,1.622012061,0,2.483253947
366,VS,sbj-VS-10,WB553,0.675581286,0.971440218,0.983276335,1.170332989,1.685242353,0,1.754400168
367,VS,sbj-VS-11,WB553,0.669858523,0.561208798,0.56951984,0.93535957,1.372719643,0,2.542029716
368,VS,sbj-VS-12,WB553,0.549934025,0.721615668,0.472438724,1.240974707,1.458467013,0,2.161818285
393,VS,sbj-VS-1,Cor1,0.690336083,0.578371666,0.874770869,0.807114429,1.576593428,0,2.187630598
394,VS,sbj-VS-2,Cor1,0.725619047,0.855350431,1.112229274,0.988960059,1.765333273,0,2.365807053
395,VS,sbj-VS-3,Cor1,0.749765024,0.645419948,1.19652101,1.113173088,1.637862513,0,2.0301984
396,VS,sbj-VS-4,Cor1,0.745271445,1.177185488,1.212335226,1.320360264,1.66881693,0,2.685855764
397,VS,sbj-VS-5,Cor1,0.749209978,1.013403932,1.338387025,1.192156516,1.711662912,0,2.408120593
398,VS,sbj-VS-6,Cor1,0.746849745,0.655081392,1.035804696,0.941653887,1.579434738,0,2.860545834
399,VS,sbj-VS-7,Cor1,0.738963666,0.764631612,1.03110661,1.086329381,1.489289064,0,2.790957042
400,VS,sbj-VS-8,Cor1,0.751612967,1.11273553,1.28968018,1.236935969,1.688687502,0,2.303785445
401,VS,sbj-VS-9,Cor1,0.745166654,0.937582904,0.984035922,1.292283307,1.845542473,0,2.430415327
402,VS,sbj-VS-10,Cor1,0.701360342,0.911189246,1.216995638,1.054529888,1.689747723,0,1.836617609
403,VS,sbj-VS-11,Cor1,0.73624867,0.663518475,0.98309772,0.79120113,1.578790437,0,2.367345194
404,VS,sbj-VS-12,Cor1,0.657246456,0.887530068,1.01941806,1.391556145,1.588958349,0,2.375418532
405,VS,sbj-VS-1,Cor4,0.643805988,0.475951576,0.791051097,0.659280913,1.654284609,0,2.17631528
406,VS,sbj-VS-2,Cor4,0.729534975,0.893888785,0.482675228,0.902898462,1.718098737,0,1.867595327
407,VS,sbj-VS-3,Cor4,0.71426794,0.661518556,0.61017889,1.138410929,1.45507688,0,1.776735497
